#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
269293	11068	9094	116252	114548	LUCA12.2	-	CYB561D2	UNC119	101F6|TSP10|XXcos-LUCA11.4	HRG4|IMD13|POC7|POC7A	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O14569	A0A024R342	NP_001278213|NP_008953	Q13432	-	NP_473376|NP_005139	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269294	65057	2547	122379	108822	-	CTA-216E10.7	ACD	XRCC6	PIP1|PTOP|TINT1|TPP1	CTC75|CTCBF|G22P1|KU70|ML8|TLAA	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q96AP0	-	NP_001075955|NP_001075956|NP_075065	P12956	B1AHC9|A0A024R1N4|B4DE32|B4E356	NP_001460|NP_001275905|NP_001275907|NP_001275906	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269295	73121	55294	215780	120581	-	-	Fam101a	FBXW7	3110032G18Rik|cfm|cfm2	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	10090	9606	High Throughput	1.0	-	-	-	BIOGRID	Q7TS73	-	NP_082719	Q969H0	S4R3U4|G0Z2K0	NP_001013433|NP_361014|NP_060785|NP_001243998	-	-	-	-	-	-	Mus musculus	Homo sapiens
269296	73121	2222	215780	108516	-	-	Fam101a	FDFT1	3110032G18Rik|cfm|cfm2	DGPT|ERG9|SQS|SS	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	10090	9606	High Throughput	1.0	-	-	-	BIOGRID	Q7TS73	-	NP_082719	P37268	B4DWP0|B4DND3|B7Z9R8|Q6IAX1	NP_001274671|NP_001274672|NP_001274673|NP_001274674|NP_001274676|NP_001274677|NP_001274685|NP_001274679|NP_001274680|NP_004453|NP_001274678	-	-	-	-	-	-	Mus musculus	Homo sapiens
269297	27252	1400	118100	107790	RP3-383J4.3	-	KLHL20	CRMP1	KHLHX|KLEIP|KLHLX	CRMP-1|DPYSL1|DRP-1|DRP1|ULIP-3	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9Y2M5	A0A024R940	NP_055273	Q14194	E9PD68|X5DNI1|Q96I11|B3KV96|B3KT07	NP_001304|NP_001014809|NP_001275591|NP_001275590	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269298	27252	5300	118100	111317	RP3-383J4.3	-	KLHL20	PIN1	KHLHX|KLEIP|KLHLX	DOD|UBL5	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9Y2M5	A0A024R940	NP_055273	Q13526	-	NP_006212	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269299	55324	22985	120605	116634	-	-	ABCF3	ACIN1	EST201864	ACINUS|ACN|fSAP152	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NUQ8	-	NP_001338228|NP_001338227|NP_060828|NP_001338229	Q9UKV3	B4DQZ7	NP_001373792|NP_001158286|NP_001158287|NP_055792|NP_001158288|NP_001158289	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269300	55324	7802	120605	113577	-	-	ABCF3	DNALI1	EST201864	P28|dJ423B22.5|hp28	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NUQ8	-	NP_001338228|NP_001338227|NP_060828|NP_001338229	O14645	-	NP_003453	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269301	55324	55004	120605	120336	-	PP7157	ABCF3	LAMTOR1	EST201864	C11orf59|PDRO|Ragulator1|p18|p27RF-Rho	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NUQ8	-	NP_001338228|NP_001338227|NP_060828|NP_001338229	Q6IAA8	-	NP_060377	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269302	55324	114034	120605	125269	-	-	ABCF3	TOE1	EST201864	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NUQ8	-	NP_001338228|NP_001338227|NP_060828|NP_001338229	Q96GM8	-	NP_079353	-	-	-	-	-	-	Homo sapiens	Homo sapiens
